learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.0007537593508695505,184,0.00435299941033741,0.006955556907604278,416,0.49999999999999994,0.7063414634146341,0.7005347593582888,0.747148288973384,0.7230910763569457,0.6826473955398031,0.5426901807638368
0.03419775837451437,105,0.0054320491609739585,0.00917489105781123,850,0.44999999999999996,0.6897560975609756,0.6481481481481481,0.8650190114068441,0.741042345276873,0.6126705685327563,0.5771322845638135
0.029040982259332018,267,0.008506051180802216,0.0031290137207187563,811,0.35,0.697560975609756,0.6384615384615384,0.9467680608365019,0.7626339969372129,0.563595606151525,0.611726015878146
0.00010777438259746933,57,0.008088249650047265,0.0011216934130468903,39,0.49999999999999994,0.7004878048780487,0.6924428822495606,0.7490494296577946,0.719634703196347,0.6880690324350741,0.5376593922085382
0.014869091217038102,280,0.005956894938122031,0.008876439869409586,963,0.44999999999999996,0.6985365853658536,0.6579330422125182,0.8593155893536122,0.7452596867271228,0.6067428965084992,0.5827431143603499
0.004445371171623483,155,0.004445409996516268,0.0028730566028778914,302,0.44999999999999996,0.6448780487804878,0.6020151133501259,0.908745247148289,0.7242424242424242,0.6350627238197306,0.555456662542907
0.003780897436616042,282,0.008795328388860258,0.007901730339684172,556,0.44999999999999996,0.6507317073170732,0.6042183622828784,0.9258555133079848,0.7312312312312312,0.6362839189016992,0.5606486497589229
0.0054757698580305825,263,0.00709257733004961,0.009265115282813537,571,0.44999999999999996,0.68,0.6337837837837837,0.8916349809885932,0.740916271721959,0.623261705237117,0.5729369290051386
0.00215752422887194,247,0.00891808362159587,0.005597252491666277,571,0.49999999999999994,0.7053658536585365,0.7007168458781362,0.7433460076045627,0.7214022140221402,0.6596155422949233,0.5498946839300847
0.00015423641694619313,117,0.002543546526438039,0.0018870818561245006,543,0.49999999999999994,0.7024390243902439,0.6962699822380106,0.7452471482889734,0.7199265381083563,0.6916869097933621,0.5369152382249001
0.03564653869412924,155,0.0072450381218034585,0.0018287236276534435,366,0.35,0.697560975609756,0.6395348837209303,0.94106463878327,0.7615384615384615,0.5620059283329303,0.6113846428487261
0.03936618390518862,246,0.0034346021280416282,0.008470077512895342,809,0.35,0.7034146341463414,0.6441558441558441,0.9429657794676806,0.7654320987654321,0.558641851064275,0.615658798523765
0.0001520120276547379,57,0.00621913572928425,0.002588216846870486,427,0.49999999999999994,0.7053658536585365,0.6978798586572438,0.7509505703422054,0.7234432234432234,0.6924720402528967,0.5391277465855867
0.0012805099782361763,77,0.008852307552020048,0.00037691157833396385,920,0.49999999999999994,0.7034146341463414,0.6968085106382979,0.747148288973384,0.7211009174311926,0.6894685387437249,0.5385481595297835
0.0002338510953747862,217,0.00033576299044765556,0.003976215607427363,263,0.49999999999999994,0.7014634146341463,0.6943462897526502,0.747148288973384,0.7197802197802198,0.6850045321914568,0.5390429080419448
0.0009099489403681711,186,0.002938003483918614,0.007713002511422143,449,0.49999999999999994,0.704390243902439,0.6987522281639929,0.7452471482889734,0.7212511499540019,0.6802920636082954,0.5421453453190591
0.07102315915065761,236,0.004789513564809015,0.005804801288369231,222,0.35,0.7160975609756097,0.660300136425648,0.9201520912547528,0.7688641779189833,0.5509273340098141,0.6210084864328957
0.0019540399109738648,62,0.005284231983442308,0.007044972330362284,790,0.49999999999999994,0.7073170731707317,0.7017857142857142,0.747148288973384,0.7237569060773481,0.6839692843619039,0.5427764000307742
0.0044927554288181105,201,0.009241609641513705,0.0054033398292450754,101,0.39999999999999997,0.6839024390243903,0.6350267379679144,0.903041825095057,0.7456828885400314,0.5824002453780706,0.5914112228916433
0.012199805861974491,142,0.0019112063810842795,0.0058094410677295896,695,0.44999999999999996,0.6926829268292682,0.6513629842180775,0.8631178707224335,0.7424366312346689,0.6119565693173982,0.5785351973366297
0.008108615091985393,90,0.009949980305576547,0.0006892453384630982,707,0.49999999999999994,0.7014634146341463,0.697841726618705,0.7376425855513308,0.7171903881700554,0.6504249851273372,0.5501406172657046
0.0001497693782316329,64,0.0024913116454994447,0.003705005082951347,828,0.49999999999999994,0.7053658536585365,0.699288256227758,0.747148288973384,0.7224264705882353,0.6927580987881715,0.5384817218730582
