learning_rate,epochs,reg_l1,reg_l2,batch_size,threshold,acc,prec,rec,f1,log_loss,overall
0.004071958210220475,186,0.004125854112552523,0.009331884601642772,897,0.49999999999999994,0.7102439024390244,0.7033747779751333,0.752851711026616,0.7272727272727273,0.6666483449756256,0.5515149141047622
0.026811683016968076,155,0.008407922941715457,0.008664650834256458,944,0.44999999999999996,0.6907317073170731,0.6507936507936508,0.8574144486692015,0.7399507793273175,0.6076232069462677,0.5782146015408935
0.012514802868821928,297,0.009145175139802664,0.0021157492358786566,746,0.44999999999999996,0.7073170731707317,0.672782874617737,0.8365019011406845,0.7457627118644068,0.5834465732730356,0.5921362295651946
0.0003014648864771218,278,0.002554094207019989,0.003692352754035613,461,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6865132054032744,0.5415657189197915
0.023110981641424062,148,0.004358683801645344,0.006758851851609167,158,0.35,0.7112195121951219,0.6521164021164021,0.9372623574144486,0.7691107644305772,0.5557076048535359,0.6195441005457404
0.00024162704610642812,126,0.006885703952236297,0.008073249355190645,754,0.49999999999999994,0.7092682926829268,0.7014134275618374,0.7547528517110266,0.7271062271062271,0.6907992402154033,0.5425092544208607
0.01943791371277762,150,0.007558473847251839,0.004765221143900245,742,0.44999999999999996,0.7073170731707317,0.6696696696696697,0.8479087452471483,0.7483221476510067,0.5925467872367373,0.5905822657490855
0.0011786382789286266,70,0.007487051787350264,0.007403858604463198,646,0.49999999999999994,0.7102439024390244,0.7026548672566372,0.7547528517110266,0.7277726856095326,0.6869366872200947,0.5444636199619374
0.09148644671655057,103,0.007187896665400012,0.00021833788124279053,645,0.35,0.7053658536585365,0.6469816272965879,0.9372623574144486,0.765527950310559,0.5569263243164823,0.6163038331399282
0.009895730579751948,62,0.007588531841728628,0.009762935493336004,415,0.49999999999999994,0.7102439024390244,0.7019400352733686,0.7566539923954373,0.7282708142726441,0.6548017860285353,0.556320572480853
0.03306816206460346,155,0.005029473922044721,0.000711052790719392,335,0.35,0.7014634146341463,0.6421188630490956,0.9448669201520913,0.7646153846153846,0.5595616193451415,0.6147079756563425
0.02385990105226482,99,0.005200512236340823,0.008918293950177522,832,0.44999999999999996,0.6575609756097561,0.6123234916559692,0.9068441064638784,0.7310344827586207,0.629826150948868,0.5627223151828653
0.03326085063653326,93,0.0008532724644535595,0.00190517530116869,835,0.44999999999999996,0.6809756097560976,0.639943741209564,0.8650190114068441,0.7356507679870655,0.6152681908695661,0.5718895414670586
0.00011197547093835623,175,0.003920597638680914,0.0042749751993333565,938,0.49999999999999994,0.7082926829268292,0.7008849557522124,0.752851711026616,0.7259395050412466,0.6923614597246455,0.5411169153919235
0.00014725595308638374,290,0.002798570159851872,5.1338899032374874e-05,980,0.49999999999999994,0.7063414634146341,0.6998223801065719,0.7490494296577946,0.7235996326905417,0.6914220320907817,0.539795233940129
0.0002339206178306373,91,0.003896558295937481,0.006983998995671753,899,0.49999999999999994,0.7082926829268292,0.7008849557522124,0.752851711026616,0.7259395050412466,0.6922935340900889,0.5411414143859545
0.0026731990442631025,264,0.0045271967017201445,0.001990724404472024,253,0.44999999999999996,0.6819512195121952,0.6362397820163488,0.8878326996197718,0.7412698412698413,0.6216628880867432,0.5738155131536614
0.025551451214263065,69,0.0013794696684510444,0.0004225409178604045,279,0.44999999999999996,0.7024390243902439,0.6676783004552352,0.8365019011406845,0.7426160337552743,0.5917523387853268,0.5866012662094956
0.0025702046104303317,166,0.00313953689050534,0.007314997100785723,973,0.49999999999999994,0.7102439024390244,0.7033747779751333,0.752851711026616,0.7272727272727273,0.6771487507024463,0.5477276932874106
