learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss,acc_norm,prec_norm,rec_norm,f1_norm,log_loss_norm,overall
0.01,100,0.0,0.0,0.3,0.724907768762909,0.24823639093161454,0.9627358956624839,0.39468381864321345,0.3291629157526406,0.32453665930357445,0.03732679515911897,0.956062044356102,0.07591008873540381,0.9245170404529366,0.48058361621532764
0.01,100,0.0,0.0,0.4,0.78884642486278,0.2983164551410346,0.9363633369561638,0.45245428186025477,0.3307188524385225,0.5301640162143133,0.15363694601398806,0.8811720529138352,0.2707317767286994,0.9232974844260814,0.5723726765235174
0.01,100,0.0,0.0,0.5,0.8434378316387662,0.3618005073292615,0.8910713697592465,0.5146310802371105,0.32967224097289793,0.7057305258990184,0.30107764529132947,0.7525567344856042,0.4804131283960439,0.9241178271381337,0.6598395834174151
0.01,100,0.0,0.0,0.6,0.8921532841509476,0.45745336682399323,0.8457695221157329,0.5937380827775837,0.3298196998531961,0.8623999079570923,0.5232298867702683,0.6239133586144349,0.7471888976870664,0.9240022476497055,0.7696313491404712
0.01,100,0.0,0.0,0.7,0.9253243641094109,0.5769250913936427,0.7494219938741231,0.6517146386234456,0.32945223733771745,0.9690784325585398,0.8007010627152363,0.3503158800440841,0.9427056002534485,0.9242902678046783,0.8446027734193208
0.01,100,0.0,0.001,0.3,0.7253884381454474,0.24842105941155124,0.9615897638573262,0.3948192610032651,0.32880793561005206,0.3260824968408056,0.03775568476017377,0.9528073809752827,0.07636684652721726,0.9247952768209302,0.4806568375135829
0.01,100,0.0,0.001,0.4,0.7892203707507446,0.2986081476217728,0.935790271053585,0.45272597855068525,0.330060942383828,0.5313666299265829,0.15431439715095183,0.8795447212234256,0.27164803055295894,0.9238131597614673,0.5728270728452087
0.01,100,0.0,0.001,0.5,0.8429036436045783,0.3610830210421049,0.892222441787702,0.5140872672627032,0.3299218287243698,0.7040125718433087,0.2994112948260721,0.755825426587892,0.4785792057351047,0.9239221981968674,0.6592334219822351
0.01,100,0.0,0.001,0.6,0.8927942669998744,0.4592764276064738,0.8457678753746336,0.5952535269412493,0.3291248925223106,0.864461315204127,0.5274639163781621,0.6239086823739455,0.7522994918139599,0.9245468433749515,0.7720588947465785
0.01,100,0.0,0.001,0.7,0.9246299054009335,0.5736294844772013,0.7511411915818594,0.6502250647719136,0.33024637400405904,0.9668450464128441,0.7930470681834653,0.3551978751153126,0.9376822496347099,0.9236678169258143,0.8421848646834706
0.01,100,0.0,0.01,0.3,0.7250679538530005,0.2482719609382642,0.9621628297599051,0.39468042516766505,0.3289433950252916,0.32505181615392453,0.03740940593258026,0.9544347126656926,0.07589864477948434,0.9246891026123337,0.4805032379783818
0.01,100,0.0,0.01,0.4,0.7892203564867116,0.29839046715601425,0.9340694266047492,0.45227269188503827,0.3293329282560113,0.5313665840533104,0.15380883773903373,0.8746580499117073,0.270119393453159,0.924383783248445,0.5718412920129369
0.01,100,0.0,0.01,0.5,0.8441322760832108,0.36291742097101765,0.8910713697592465,0.5157636780346284,0.32894574084849115,0.7079638661714424,0.3036716594208098,0.7525567344856042,0.48423263411648354,0.9246872639367328,0.6617227033775057
0.01,100,0.0,0.01,0.6,0.8923135120331382,0.4579321529668306,0.8457695221157329,0.5941377680985195,0.3298530037865567,0.8629152024272606,0.524341859955202,0.6239133586144349,0.7485367727871554,0.9239761437516378,0.7702193296390311
0.01,100,0.0,0.01,0.7,0.9260722416213071,0.5803729363215041,0.7505697724203799,0.6543358548017665,0.3286905315398672,0.9714836141098064,0.8087086276018709,0.35357521966539246,0.9515452344197395,0.9248872991009307,0.8491033489333435
0.01,100,0.0,0.1,0.3,0.723144777081693,0.24710417120993838,0.9627375424035833,0.39322107713192395,0.33133173264202137,0.31886686044046086,0.03469723290300188,0.956066720596592,0.07097722591142662,0.9228171038600216,0.4774788899826725
0.01,100,0.0,0.1,0.4,0.7895942453185443,0.2987161604928233,0.9334980074432698,0.45257179946606935,0.3291275430174899,0.5325690142724896,0.1545652553222516,0.8730353944617875,0.27112808614113587,0.9245447658949362,0.5722348671080764
0.01,100,0.0,0.1,0.5,0.8439720054089213,0.3626940117299995,0.8916460824029248,0.5156320248683963,0.32895788858437197,0.7074484340814561,0.3031527950196674,0.7541887424165038,0.4837886547774459,0.9246777424410058,0.661669278597261
0.01,100,0.0,0.1,0.6,0.8932750362306436,0.46040641645511615,0.8451948094720547,0.5960745313006133,0.32896433390764157,0.866007473854266,0.5300882974672181,0.6222813506835356,0.7550681982814884,0.924672690543387,0.7732366229698394
0.01,100,0.0,0.1,0.7,0.9258585521435989,0.5795265518811752,0.7494219938741231,0.6533367926026761,0.3287012220591599,0.9707963866142498,0.8067429132304953,0.3503158800440841,0.9481760562411634,0.9248789197836025,0.847407761565367
