learning_rate,epochs,reg_l1,reg_l2,threshold,log_loss
0.011635313299440403,1638,0.0027919857150936794,0.0004358873259268722,0.4301647666196907,0.19330237533386016
0.02618381598101008,2215,0.0027356723643390955,0.0007400792506146387,0.6888110883578349,0.19678598697352587
0.03874030657028067,285,0.00028093351702128036,0.0004275735927332157,0.4390826630994973,0.1736836599590963
0.027095324757154,445,0.0002736896502794,0.0014978516901564959,0.4384046942617951,0.18761022089409557
0.011392338682351528,131,0.0013249650746468742,0.0009789697207715385,0.3917861989541604,0.19957457167279757
0.0009393570337572602,1194,0.0009047583535140068,0.00010444299829022452,0.5320364967546984,0.19789991274976312
0.002943581998795919,1872,0.0018120155555680104,0.00013965081368331014,0.6394884362870839,0.18136163032266037
0.007904510499128202,1732,0.00020433319024902404,0.0010825051543279422,0.6506290202092518,0.18228956320933823
0.0005602152045446776,2078,0.00014867387196025746,0.0004096196863633208,0.5276155080250186,0.19480913518489193
0.0026358084695993584,2714,0.002408216997407487,0.00011792673841411034,0.48247300289695916,0.18539758190753422
0.019502176744907403,781,0.0001657638363395127,0.0008866170932028848,0.6993583484321356,0.17945336311830107
0.07453589053415628,1535,0.0029583719487146476,0.00042247878948068086,0.5347640208164995,0.19465383516655768
0.012063642765723151,220,0.00019354913117390247,0.00030490768648138507,0.6755628684017942,0.17770821969195902
0.019868831733752403,1886,0.0015842590110537495,0.0006378856181023512,0.6523289567628966,0.18633383443305293
0.19284115254733575,2786,0.00011527077123044466,0.0011765737241609434,0.364369074011269,0.18387228195523397
0.004674501060017061,883,0.00024052079310256846,0.0013819519907918771,0.5046057987525117,0.18695290977780785
0.0013496683211999274,1346,0.0007493427494159958,0.0001448665831108082,0.4251644178098404,0.18544196293831264
0.0050392329113314255,2268,0.00023519828610943637,0.0007293106072741793,0.5365740214543493,0.1778040694472622
0.0006393375420592124,2571,0.00018965140597341395,0.0014013799818982631,0.5464349291950257,0.19595552327308746
