learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss
0.01,200,0.001,0.001,0.4,0.8047643581755732,0.31456936022756565,0.9289085399993413,0.46995832615526967,0.3135625401729235
0.01,200,0.001,0.001,0.5,0.8522515918660778,0.3757039274330797,0.8853374172512598,0.5275246963636503,0.3123867957827569
0.01,200,0.001,0.001,0.6,0.8944501785856925,0.4637879719579202,0.8469173006619899,0.5993190200895814,0.3127610845680887
0.01,200,0.001,0.001,0.7,0.9239889938721715,0.5679394093499471,0.7752330138655601,0.6553997568458073,0.3123578691059386
0.01,200,0.001,0.01,0.3,0.7520428092157064,0.2678159461515726,0.9581513684418536,0.41859932925482213,0.3128883594154665
0.01,200,0.001,0.01,0.4,0.8050314521926671,0.3149461959715497,0.9294816059019201,0.4704545961687846,0.31335928079203007
0.01,200,0.001,0.01,0.5,0.8517708226353085,0.37495252492831566,0.8864851957975167,0.5269828551179295,0.31347770438144895
0.01,200,0.001,0.01,0.6,0.8925271159266487,0.4585750820831933,0.8474903665645688,0.5950837761272544,0.31577439053627643
0.01,200,0.001,0.01,0.7,0.9238286804057833,0.5671622118229963,0.7763791456707176,0.6553086797870546,0.31253260829756707
0.01,200,0.001,0.1,0.3,0.752203022833864,0.2679668623390124,0.9581513684418536,0.4187735805652425,0.3124819171916819
0.01,200,0.001,0.1,0.4,0.8051382897995047,0.3149821333617489,0.9289085399993413,0.47042268047117286,0.3133497658833186
0.01,200,0.001,0.1,0.5,0.8520913354558214,0.375472720898204,0.8859104831538385,0.5274004969739143,0.31287103158416973
0.01,200,0.001,0.1,0.6,0.8942899221754361,0.46330700251113843,0.8451981029542536,0.5984890033474303,0.3124436411665257
0.01,200,0.001,0.1,0.7,0.9234548058379835,0.5654888523819175,0.778098343378454,0.6547331754281149,0.3137705065699123
0.01,200,0.01,0.0,0.3,0.7519893476201888,0.2677881597375919,0.9581513684418536,0.41855907088902444,0.3126741322403686
0.01,200,0.01,0.0,0.4,0.8023605120217271,0.3122609103812191,0.9306310311892764,0.46751711358516446,0.3169713188497513
0.01,200,0.01,0.0,0.5,0.8491533012677873,0.3707048264359565,0.8882027467641537,0.5230579018812428,0.31637573939511254
0.01,200,0.01,0.0,0.6,0.894076261225794,0.46278134209183575,0.846344234759411,0.598338748081255,0.3132010137119852
0.01,200,0.01,0.0,0.7,0.9237218427989455,0.5662669209710138,0.7792527088891085,0.6557915530381464,0.31356446120003906
0.01,200,0.01,0.001,0.3,0.7503868548377894,0.2664907832953742,0.9581513684418536,0.41697801401373935,0.3155167123329612
0.01,200,0.01,0.001,0.4,0.8051916943388907,0.3151216130524781,0.9294816059019201,0.4706505854641563,0.31302671278652694
0.01,200,0.01,0.001,0.5,0.8516105376969862,0.3746130224467674,0.8859104831538385,0.5265571172216387,0.31349703268264484
0.01,200,0.01,0.001,0.6,0.8944501785856926,0.4637631148385262,0.8457711688568323,0.5990158833736955,0.3127656062594802
0.01,200,0.01,0.001,0.7,0.9235615863886892,0.5655679658511746,0.7803971939531666,0.6557157040972665,0.31368473155424115
0.01,200,0.01,0.01,0.3,0.7516688633277419,0.26754091182073614,0.9581513684418536,0.41825540150455565,0.31318529884133656
0.01,200,0.01,0.01,0.4,0.8049246145858296,0.31474649144530964,0.9289085399993413,0.47015794752279144,0.31298816080750014
0.01,200,0.01,0.01,0.5,0.8510763781908641,0.37375852932106446,0.8864835490564174,0.5258147969465385,0.3138853306884444
0.01,200,0.01,0.01,0.6,0.894343355242888,0.4633578067602378,0.8451981029542536,0.5985473622165782,0.31226185356829717
0.01,200,0.01,0.01,0.7,0.9235616577088539,0.5662791163422823,0.7740819418371043,0.6538328916070475,0.31255374814939785
0.01,200,0.01,0.1,0.3,0.7514552309061655,0.2673618078546792,0.9581513684418536,0.4180372637038062,0.31353497877334746
0.01,200,0.01,0.1,0.4,0.8052451274063424,0.3151014985493817,0.9289085399993413,0.47055735075156024,0.3131364169874263
0.01,200,0.01,0.1,0.5,0.8518242414387274,0.37494271024506465,0.8853390639923591,0.5267675895543826,0.3132187347324611
0.01,200,0.01,0.1,0.6,0.8948775004849772,0.46484052601435516,0.8451981029542536,0.599781002638858,0.31202304448790075
0.01,200,0.01,0.1,0.7,0.9239889938721714,0.5678917745562844,0.7763807924118169,0.6557675325135737,0.3127816166634639
0.01,200,0.1,0.0,0.3,0.7522030513619298,0.26794710194539445,0.9581513684418536,0.4187596150737843,0.3124811124038793
0.01,200,0.1,0.0,0.4,0.8048711957824107,0.3147445792039011,0.9294816059019201,0.47023058847892274,0.31382933847976
0.01,200,0.1,0.0,0.5,0.8510229736514783,0.3737212545342691,0.8864851957975167,0.5257471390551696,0.3141063110693788
0.01,200,0.1,0.0,0.6,0.8940228424223751,0.462508971259788,0.8451981029542536,0.5978338154603259,0.31286735473014976
0.01,200,0.1,0.0,0.7,0.9237218998550775,0.5668166025757124,0.7758027862859402,0.6548237268492099,0.3127597804597092
0.01,200,0.1,0.001,0.3,0.7519893904122876,0.267784482581852,0.9581513684418536,0.41855547768308526,0.312446098311113
0.01,200,0.1,0.001,0.4,0.8050848709960858,0.3149992283077551,0.9294816059019201,0.47051321528993106,0.31276061687757695
0.01,200,0.1,0.001,0.5,0.8511297684662171,0.3739867750755466,0.887629680861575,0.5262445130896887,0.31434303233469774
0.01,200,0.1,0.001,0.6,0.8938091672087,0.4619395316424987,0.8451981029542536,0.5973585022390882,0.3132570032571199
0.01,200,0.1,0.001,0.7,0.924095817214976,0.5681808313199733,0.7781049303428514,0.6565986094354159,0.3129171288988826
0.01,200,0.1,0.01,0.3,0.7517757009345795,0.26761526703446137,0.9581513684418536,0.41834842235316294,0.3130748956423977
0.01,200,0.1,0.01,0.4,0.8051382897995047,0.3149812568707447,0.9289085399993413,0.4704225104788322,0.3133811351697714
0.01,200,0.1,0.01,0.5,0.8516105662250523,0.37468719791120403,0.8864835490564174,0.526730140026515,0.3135389882410634
0.01,200,0.1,0.01,0.6,0.8936489107984436,0.46146281982372706,0.8446250370516747,0.596822106259866,0.31327511743889735
0.01,200,0.1,0.01,0.7,0.9234013727705316,0.5652633477440909,0.7775269242169746,0.6543841318817005,0.3137497283834658
0.01,200,0.1,0.1,0.3,0.750547068455947,0.26668993266450897,0.9581513684418536,0.4171963792132461,0.31477193744127957
0.01,200,0.1,0.1,0.4,0.8042836032088369,0.31412590169249144,0.930054671804499,0.4696112699102401,0.3141263427130668
0.01,200,0.1,0.1,0.5,0.8515037000901486,0.37453501545609347,0.8864835490564174,0.5265809092236113,0.3136342777777902
0.01,200,0.1,0.1,0.6,0.8941830988326315,0.4630061719630154,0.8457711688568323,0.5983857149281453,0.3130967443702387
0.01,200,0.1,0.1,0.7,0.9238287517259479,0.5671947115207697,0.7758044330270394,0.6551096689143954,0.31271981291934653
0.01,500,0.0,0.0,0.3,0.7636873523672588,0.2773352389536733,0.9564321707341172,0.4299532753733156,0.3069884786868698
0.01,500,0.0,0.0,0.4,0.8107470501979848,0.32037870739855095,0.9197394855580805,0.4751943584188546,0.3064548550496432
0.01,500,0.0,0.0,0.5,0.8558838280099963,0.38177839414040904,0.8836182195435234,0.5331760911983764,0.30556487968790313
0.01,500,0.0,0.0,0.6,0.8946637967432359,0.4642705456555193,0.8457728155979318,0.5994453941434714,0.305721683408861
0.01,500,0.0,0.0,0.7,0.9218523130555839,0.5571139081167233,0.7901393142970063,0.65337551805068,0.30637379439102264
0.01,500,0.0,0.001,0.3,0.7644352156151222,0.2778832195996849,0.9558591048315384,0.4305571474525321,0.3057062046669682
0.01,500,0.0,0.001,0.4,0.8112277623726222,0.3208829566069761,0.9191664196555017,0.47567339135032016,0.30588375534052914
0.01,500,0.0,0.001,0.5,0.8550825459587141,0.38047871218993834,0.8841896387050028,0.5320165866060292,0.3069491871652634
0.01,500,0.0,0.001,0.6,0.8946104207319161,0.46417202595017876,0.8469189474030893,0.5996447345317097,0.3061659534031575
0.01,500,0.0,0.001,0.7,0.9217454897127795,0.5567519637682747,0.7895662483944275,0.6529008107745308,0.30616635932907244
0.01,500,0.0,0.01,0.3,0.7651830360708864,0.27853325450821836,0.9558591048315384,0.43133593385911767,0.3045374436274626
0.01,500,0.0,0.01,0.4,0.8100525486974085,0.3196136056696933,0.9197394855580805,0.474326350781325,0.3079154431499641
0.01,500,0.0,0.01,0.5,0.8554564490545798,0.3809876561981293,0.8830435068998452,0.5322997135617772,0.30622197127651163
0.01,500,0.0,0.01,0.6,0.894129608709048,0.46286669052451607,0.8469189474030893,0.5985652399112648,0.3069794614780566
0.01,500,0.0,0.01,0.7,0.9214249768922667,0.5552758868302059,0.7907123801995851,0.6522977912098489,0.30689625335639
0.01,500,0.0,0.1,0.3,0.7642749449408328,0.27783478727321465,0.9564321707341172,0.4305527483955645,0.3059412363440104
0.01,500,0.0,0.1,0.4,0.8105333607202766,0.3201517041310321,0.9197394855580805,0.47494776480681694,0.30711792120505094
0.01,500,0.0,0.1,0.5,0.8539607510869193,0.3785255534608372,0.8841912854461021,0.5300649576710474,0.3076163074492151
0.01,500,0.0,0.1,0.6,0.8945569591363982,0.4639977094485593,0.8463458815005105,0.5993685606507608,0.306373027735683
0.01,500,0.0,0.1,0.7,0.9218523130555841,0.5571998232709202,0.7884201165892698,0.6528502898320494,0.30589558584157506
0.01,500,0.001,0.0,0.3,0.7645954292332797,0.278028092204226,0.9558591048315384,0.43072877428317413,0.30523696565322195
0.01,500,0.001,0.0,0.4,0.8117085458674242,0.3214587948786297,0.9191664196555017,0.47630777242952343,0.3053505210880512
0.01,500,0.001,0.0,0.5,0.8550825174306483,0.38047292073322464,0.8841912854461021,0.531998785026183,0.30700452454674043
0.01,500,0.001,0.0,0.6,0.894396702726142,0.4635484397933718,0.8463458815005105,0.5989930276957743,0.30614621516436047
0.01,500,0.001,0.0,0.7,0.9220659740052264,0.5579581012135423,0.7907123801995851,0.6541457141972878,0.30593280129709144
0.01,500,0.001,0.001,0.3,0.7642749592048657,0.2777488334389185,0.9558591048315384,0.4303937794242361,0.30571580882813165
0.01,500,0.001,0.001,0.4,0.8100525486974085,0.31959867877214265,0.9197394855580805,0.47433390087501814,0.30816844078726535
0.01,500,0.001,0.001,0.5,0.855990651352801,0.38192093877328953,0.8830435068998452,0.5332136775247227,0.3058055146148431
0.01,500,0.001,0.001,0.6,0.8943432981867563,0.4633592427188703,0.8457728155979318,0.5986871494494019,0.3065021090601613
0.01,500,0.001,0.001,0.7,0.921585204774457,0.5559290956046863,0.7912854461021638,0.6529447533016197,0.30704395894312986
0.01,500,0.001,0.01,0.3,0.764488605890475,0.27801114877534794,0.9564321707341172,0.43076879140926777,0.30569620602960745
0.01,500,0.001,0.01,0.4,0.8103730615179213,0.3199750287823525,0.9197394855580805,0.4747393102179597,0.3072398571406211
0.01,500,0.001,0.01,0.5,0.8560440416281538,0.38207034262967027,0.8836182195435234,0.5334557501763352,0.3058170823052869
0.01,500,0.001,0.01,0.6,0.8948240674175253,0.4647527632851699,0.8469189474030893,0.6001301057569322,0.30603498433460835
0.01,500,0.001,0.01,0.7,0.9215317859710384,0.5559287485437676,0.7895662483944275,0.6523426134673862,0.30613613150850527
0.01,500,0.001,0.1,0.3,0.7645420532219598,0.27797889050502267,0.9558591048315384,0.4306688332848137,0.30523466736711374
0.01,500,0.001,0.1,0.4,0.8112811811760411,0.3210239447920647,0.9197394855580805,0.4759047792826728,0.30587141776944604
0.01,500,0.001,0.1,0.5,0.8555098963860646,0.3810826399136368,0.8830435068998452,0.5323876271211743,0.3062557873599402
0.01,500,0.001,0.1,0.6,0.8945569734004314,0.46399907327061085,0.8463458815005105,0.5993590360225535,0.3061824700321989
0.01,500,0.001,0.1,0.7,0.9220125552018075,0.557700418348454,0.7901393142970063,0.6537945691416868,0.30585829182461777
0.01,500,0.01,0.0,0.3,0.7637941329179647,0.2774367258310744,0.9564321707341172,0.4300671085610994,0.3064809243018417
0.01,500,0.01,0.0,0.4,0.8113346142434927,0.32100394804772453,0.9191664196555017,0.4758063127019986,0.3057318072256282
0.01,500,0.01,0.0,0.5,0.8562577453698947,0.3824508557144658,0.8836165728024241,0.5338341058878555,0.30522471488804975
0.01,500,0.01,0.0,0.6,0.8945569734004313,0.4639490905482065,0.8457728155979318,0.5991830402285874,0.30585702739635534
0.01,500,0.01,0.0,0.7,0.9221193928086452,0.5582334481975858,0.7895662483944275,0.653952998042106,0.30560428383342664
0.01,500,0.01,0.001,0.3,0.7643817968117034,0.2778345863917483,0.9558591048315384,0.43050072988987764,0.3058937488480814
0.01,500,0.01,0.001,0.4,0.8109072495521094,0.3205597505922307,0.9197394855580805,0.4753956100312225,0.3067622518012648
0.01,500,0.01,0.001,0.5,0.8561509220270903,0.38227908467533167,0.8836182195435234,0.5336602383715096,0.3055015597167216
0.01,500,0.01,0.001,0.6,0.8933283409217989,0.4610036592922283,0.8480650792082468,0.597227292179723,0.3085051597968154
0.01,500,0.01,0.001,0.7,0.9219057318590028,0.557432094964246,0.7889931824918486,0.6532004315723273,0.3056245210012049
0.01,500,0.01,0.01,0.3,0.7644886344185411,0.2779515741410683,0.9558591048315384,0.430631916476439,0.3054388613879248
0.01,500,0.01,0.01,0.4,0.8113880615749774,0.3211413115183009,0.9197394855580805,0.4760383874461646,0.30586666859381095
0.01,500,0.01,0.01,0.5,0.8558838280099963,0.3817171780622865,0.8830435068998452,0.5330110962693337,0.305737563768104
0.01,500,0.01,0.01,0.6,0.8948774862209442,0.46490364218000835,0.8463458815005105,0.6001116756950136,0.30583982866036774
0.01,500,0.01,0.01,0.7,0.9218523130555841,0.5571236872847194,0.7889931824918486,0.6530082982457385,0.3058175780004458
0.01,500,0.01,0.1,0.3,0.764168121598028,0.2777261753540096,0.9564321707341172,0.43042669846105647,0.3058802228169196
0.01,500,0.01,0.1,0.4,0.8102662667031826,0.31983429870130353,0.9197394855580805,0.4745854950992232,0.3075441695782039
0.01,500,0.01,0.1,0.5,0.8558838280099963,0.3816573514837893,0.8824704409972665,0.5328486730670416,0.3056393643896347
0.01,500,0.01,0.1,0.6,0.8951979847774242,0.4657459922334047,0.8463458815005105,0.6008161258513556,0.30537752956860403
0.01,500,0.01,0.1,0.7,0.9220659740052263,0.5580080043997694,0.7901393142970063,0.6539861432062404,0.30589483882671653
