learning_rate,epochs,reg_l1,reg_l2,threshold,acc,prec,rec,f1,log_loss,overall
0.01,100,0.0,0.0,0.3,0.725174862780003,0.2483459289343445,0.9621628297599051,0.3947730704457701,0.32892679673482084,0.0
0.01,100,0.0,0.0,0.4,0.7896477069140622,0.2989971170806886,0.9352172051510061,0.45309500693949534,0.3295422738445612,0.5499999999902957
0.01,100,0.0,0.0,0.5,0.8442925182294341,0.36308346049556134,0.8904983038566676,0.5158326649302859,0.328720372099505,0.8499999996303385
0.01,100,0.0,0.0,0.3,0.9303989935298347,0.6415528540859701,0.5745479695682245,0.6060099242216367,0.20947269126225368,0.0
0.01,100,0.0,0.0,0.4,0.9255381391713169,0.7608018061176638,0.29299476336330404,0.42292643953220754,0.2095044063553757,0.19999999999832285
0.01,100,0.0,0.0,0.5,0.9158165017744457,0.8202697585221381,0.12441787702137468,0.2156269544807253,0.20947291658106842,0.4978686506746944
0.01,100,0.0,0.001,0.3,0.9327492925039653,0.6764074173605096,0.5344086552712183,0.5967508047447101,0.21395627146966195,0.5208858217517304
0.01,100,0.001,0.0,0.3,0.93344373694841,0.6786234713250141,0.5441540690972565,0.6037371788213128,0.21427326252247983,0.7877977392608466
0.01,200,0.0,0.0,0.4,0.9370759588282953,0.7638570640482708,0.4707621117807858,0.5822301403240111,0.18810295940690872,0.8486858758659896
0.01,500,0.0,0.0,0.4,0.9426844910022479,0.7630378766483977,0.5573477587853638,0.6436773641608503,0.17488805080373213,0.8644955943902937
0.01,100,0.0,0.0,0.3,0.7330366492146597,0.2504450906105188,0.9622120343839541,0.39737566035831384,0.3240186739009203,0.0
0.01,100,0.0,0.0,0.4,0.7957591623036648,0.301801869441046,0.938727793696275,0.4567067057819266,0.3239964660938023,0.849999986481581
0.01,100,0.0,0.0,0.5,0.8473298429319371,0.3636621917111831,0.8917724109701186,0.516480538859859,0.323648526957372,0.8499999991847529
0.01,100,0.0,0.0,0.6,0.8938743455497382,0.45660853056955897,0.8430912812116251,0.5922620153590581,0.3232166589158997,0.8499999996230132
0.01,100,0.0,0.0,0.3,0.9560732984293194,0.7933938417173751,0.7021940237413016,0.7449706854731042,0.21437789127451062,0.0
0.01,100,0.0,0.001,0.3,0.9312041884816754,0.7391230919328617,0.3825918952108064,0.5039416593692293,0.21757196136834836,0.2724095523958055
0.01,100,0.001,0.0,0.3,0.9312041884816754,0.7391230919328617,0.3825918952108064,0.5039416593692293,0.21783553453964072,0.5902673900544908
0.01,100,0.0,0.0,0.3,0.9560732984293194,0.7933938417173751,0.7021940237413016,0.7449706854731042,0.2143744691664466,0.0
